workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.2,Success,912241.0359842815,51277124.0,5.70052858756812,0.7457730919754115,10.034908641326705,0.6898147298048073,2200476.2831095997,68770042.0,-5.300201681524828,0.013273041289181331,19.115860990366233,0.0099087488632441
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.4,Success,1449636.136705318,55333132.32028757,9.621852445560421,0.386718900823114,12.661555565246523,0.21596805147116793,2222298.455539432,68350098.1537716,-12.344285038409204,0.04928619069360585,26.947125579638755,0.04928619069360596
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.4,Success,1392106.4664031032,55333132.32028757,8.648166267338175,0.42199837465126205,12.48587032372184,0.2770173427203068,2231410.5175322453,68691810.44782576,-12.418760779945442,0.041690627553785144,26.971468606898398,0.041690627553785206
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.4,Success,1388802.3820916044,55333132.32028757,8.395906879816412,0.42095927181587045,12.523015643989115,0.28100250887513567,2237893.3069062554,68691810.44782576,-12.425948426467313,0.036243500846649554,26.948383403831667,0.03624350084664957
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.4,Success,1269980.5894095497,54663450.0,4.187147226275328,0.4589291947178282,11.02398769612418,0.3982585707226385,2257767.5995334233,68313596.0,-17.29724020236622,0.025302545841396684,28.85440110587908,0.01869614271963227
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.4,Success,1391962.0138505565,55090550.0,10.247019272309556,0.45778572081157326,13.832194554461068,0.27717064759854726,2259874.2147352654,68665440.5,-11.426586599821912,0.019158930734435243,26.925967180903942,0.017086371166025915
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.4,Success,1560360.632933218,55744013.5,14.906816457819556,0.41076641643516937,17.03735856201126,0.09243505011456862,2274822.975838252,69059256.0,-5.757417468851503,0.018463304770575728,25.9369822275041,0.004172734750643536
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.6,Success,1496748.3909946748,54969938.82042253,11.845576094847218,0.39724582574650846,14.727810380103053,0.16417886874426213,2264854.480273279,81463124.53106767,-15.739497798400622,0.02022094455310386,32.94514585376524,0.02022094455310386
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.6,Success,1512193.0849279012,55816978.72246696,11.582018702805426,0.3751215027093818,14.97242279243712,0.14690647501115722,2270687.7087944783,81463124.53106767,-15.758930504494252,0.015369513979870453,32.94959705645183,0.015369513979870474
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.6,Success,1545569.3703041025,56481705.45454547,11.43200778549383,0.3366697095569932,14.852151893106969,0.10955393195897442,2270576.048018779,81463124.53106767,-15.762185448013346,0.015465686547834945,32.93949816765352,0.015465686547834945
